text;news_link;outlet;topic;type;label_bias;label_opinion;biased_words
To bolster the argument that doctors deliver viable infants alive and let them die, the anti-choice movement also trots out a series of people who claim to have “survived” abortion. ;https://www.alternet.org/2020/05/how-the-religious-rights-war-against-abortion-is-built-on-lies-grifting-and-bullying/;alternet;abortion;left;Biased;No agreement;['trots', 'out', 'claim']
In the spring, the Trump administration’s Department of Health and Human Services unveiled a new policy designed to silence taxpayer-funded family planning clinics, preventing them from letting patients know about their abortion rights.;;msnbc;abortion;left;Non-biased;Somewhat factual but also opinionated;[]
Thunberg used to protest alone outside the Swedish Parliament during school hours Fridays, but now is joined by thousands globally in a collective movement to fight climate change.;https://www.nbcnews.com/pop-culture/pop-culture-news/greta-thunberg-responds-meat-loaf-comment-she-s-been-brainwashed-n1111436?cid=public-rss_20200106;msnbc;environment;left;Non-biased;Entirely factual;[]
All but seven House Democrats voted Friday for a bill which ends legal and civic rights for women by allowing men who say they are transgender to freely use women’s legal rights, sports leagues, institutions, and private spaces.;https://www.breitbart.com/2020-election/2019/05/17/gop-defends-womens-rights-dems-vote-transgender-ideology/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gender;right;Non-biased;Entirely factual;[]
In Australia, record high temperatures and drought exacerbated by the climate crisis have ignited blazes that have killed more than two dozen people and destroyed 2,000 homes since September.;https://www.nbcnews.com/business/business-news/blackrock-ceo-says-climate-crisis-about-trigger-fundamental-reshaping-finance-n1115276?cid=public-rss_20200114;msnbc;environment;left;Non-biased;Entirely factual;[]
Much of this health hazard lies at the feet of folks like RFK Jr., so the idea that Trump was doing the anti-vax slow-jam with this quack a week before Inauguration Day understandably put Twitterverse over the edge;https://thefederalist.com/2017/01/12/no-anti-vaxxer-robert-kennedy-jr-wont-trumps-vaccine-czar/;federalist;vaccines;right;Biased;Expresses writer’s opinion;['anti-vax', 'slow-jam', 'quack']
Democratic presidential candidate Joe Biden promised black community leaders in Delaware on Monday he would earn their support amid nationwide police brutality protests, saying he would create a police oversight board within his first 100 days in the White House.;https://www.reuters.com/article/us-usa-election-biden/biden-meets-black-leaders-promises-to-earn-african-american-support-amid-protests-idUSKBN2382SI;reuters;elections-2020;center;Non-biased;Entirely factual;[]
Fearful and insecure Americans are taking advantage of weak and ineffective gun-control laws and stocking up, as President Trump might say, “like never before.”;https://www.alternet.org/2020/04/the-supreme-court-is-poised-to-extend-gun-rights-at-the-worst-possible-time/;alternet;gun-control;left;Biased;Expresses writer’s opinion;['fearful', 'insecure']
Sen. Elizabeth Warren wants to raise Social Security benefits by $200 per month for roughly 64 million recipients by raising taxes on the top 2% of earners in the country.;https://eu.usatoday.com/story/news/politics/2019/09/12/elizabeth-warren-social-security-200-per-month-taxing-rich/2294876001/;usa-today;middle-class;center;Non-biased;Entirely factual;[]
The true elegance of ranked choice voting is that it encourages candidates to campaign and to govern in an inclusive manner that leads to better representation for everyone. It incentivizes candidates to look beyond their base and seek out second-choice support.;https://www.alternet.org/2020/06/want-candidates-who-will-reach-beyond-their-base-change-how-we-vote/;alternet;elections-2020;left;No agreement;Expresses writer’s opinion;['true', 'elegance']
Australian Rugby Player Israel Folau and his anti-gay sentiments appear to have gone too far this time.;https://www.huffpost.com/entry/israel-folau-australia-rugby-homophobia_n_5caf8a7fe4b082aab082be02;huffpost;sport;left;Non-biased;Expresses writer’s opinion;[]
The targeted killing is the latest demonstration of how, two decades after the CIA spotted but was unable to kill a man they believed was al Qaeda leader Osama bin Laden in Afghanistan, the U.S. has become adept at hunting and killing its enemies, particularly in the troubled regions of the Middle East, South Asia and Africa.;https://www.nbcnews.com/news/mideast/airport-informants-overhead-drones-how-u-s-killed-soleimani-n1113726?cid=public-rss_20200114;msnbc;international-politics-and-world-news;left;Non-biased;No agreement;[]
An unidentified Mexican asylum-seeker took his own life Wednesday just yards from the U.S. border after he was denied entry, a report said.;https://www.foxnews.com/world/asylum-seeker-cuts-his-own-throat-yards-from-us-border-after-being-denied-entry-report;fox-news;immigration;right;Non-biased;Entirely factual;[]
Some people have expressed concern that full cancellation could reward wealthier—and whiter—people, who are less in need than others. But full cancellation will reduce the racial wealth gap. ;https://www.alternet.org/2019/06/bernie-got-it-right-full-student-debt-cancellation-is-the-best-approach/;alternet;student-debt;left;Non-biased;Entirely factual;[]
The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.;https://www.reuters.com/article/us-volkswagen-emissions-baden-wuerttembe/german-state-of-baden-wuerttemberg-sues-vw-for-damages-faz-idUSKCN1OZ0C8;reuters;environment;center;Non-biased;Entirely factual;[]
It may have taken Trump to point out the pitfalls of the Chimerica link, but coming up with a coherent strategy to replace it is clearly beyond the president’s abilities.;https://www.alternet.org/2019/09/trump-is-incapable-of-fixing-relations-with-china-and-his-trade-war-is-likely-to-grow-more-destructive/;alternet;international-politics-and-world-news;left;No agreement;Somewhat factual but also opinionated;[]
House Democrats are not currently pushing a firearm registry, but without a complete knowledge of the location of all firearms, universal background checks simply will not work.;https://www.breitbart.com/2nd-amendment/2019/01/13/house-democrats-gun-control-unenforceable-without-firearm-registry/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gun-control;right;Non-biased;Somewhat factual but also opinionated;[]
"But the president's ""ask China"" response is reflective a larger strategy to deflect any blame for administration's handling of the pandemic onto China, a chief U.S. rival and the place where the outbreak began. ";https://www.usatoday.com/story/news/politics/2020/05/12/trump-tells-reporter-weijia-jiang-ask-china-covid-19-testing/3114144001/?utm_source=feedblitz&utm_medium=FeedBlitzRss&utm_campaign=usatoday-newstopstories;usa-today;trump-presidency;center;Non-biased;No agreement;[]
Climate change contributed to drastic declines in the population and diversity of bumblebees across North America and Europe, according to a long-term study of more than 60 bee species published Thursday in the journal Science.;https://eu.usatoday.com/story/news/nation/2020/02/06/bumblebees-decline-due-climate-change/4679240002/;usa-today;environment;center;Non-biased;Entirely factual;[]
Opposition Labour Party leader Jeremy Corbyn said on Thursday he would look at ways to help those who have already incurred large debts from university tuition fees, and would not sell off student loans to private companies.;https://www.reuters.com/article/britain-election-corbyn-students/uks-corbyn-says-labour-will-consider-student-debt-relief-idUSS8N26G098;reuters;student-debt;center;Non-biased;Entirely factual;[]
India’s Prime Minister Narendra Modi is often compared to Donald Trump, especially when it comes to his anti-Muslim policies.;https://www.alternet.org/2020/02/india-builds-a-wall-to-hide-its-poor-people-days-before-trumps-visit/;alternet;international-politics-and-world-news;left;Biased;Somewhat factual but also opinionated;['anti-muslim', 'policies']
‘A new low’: Washington Post media critic blows up Tucker Carlson’s absurd lies about white nationalism;https://www.alternet.org/2019/08/a-new-low-washington-post-media-critic-blows-up-tucker-carlsons-absurd-lies-about-white-nationalism/;alternet;white-nationalism;left;Biased;Expresses writer’s opinion;['blows', 'up', 'absurd', 'lies']
Edwards’ allies are pushing a narrative that supporting Rispone is akin to being a racist like infamous white supremacist David Duke.;https://www.breitbart.com/politics/2019/11/05/democrats-deploy-race-card-in-louisiana-governor-race/;breitbart;white-nationalism;right;No agreement;No agreement;[]
Biden made the apocalyptic pronouncement while discussing climate change before a crowd of supporters in Peterborough, New Hampshire.;https://www.breitbart.com/politics/2019/12/30/joe-biden-were-all-dead-if-we-dont-stop-using-fossil-fuels/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;environment;right;Biased;Somewhat factual but also opinionated;['apocalyptic']
"With just over a year left in President Donald Trump's first term, another late-breaking news item barely made waves: The Interior Department — which manages the majority of the federal government's public lands — deleted ""sexual orientation"" from its anti-discrimination guidelines. ";https://www.nbcnews.com/feature/nbc-out/trump-trend-lgbtq-mentions-quietly-axed-discrimination-guidelines-n1109186?icid=related;msnbc;gender;left;Non-biased;Entirely factual;[]
The issue of mandatory vaccination is once again an item of debate in media circles given the recent outbreaks in measles, and fueled this week by the continued inability of politicians to discuss vaccination policy without sounding like anti-science fools.;https://thefederalist.com/2015/02/03/the-insane-vaccine-debate/;federalist;vaccines;right;Biased;Expresses writer’s opinion;['fueled', 'anti-science', 'fools']
Never before have the freewheeling inclinations of some Electoral College members flipped an election, so the impact of the high court's decision may be just mathematical.;https://eu.usatoday.com/story/news/politics/2020/01/17/presidential-elections-supreme-court-weighs-power-voters-electors/2834655001/;usa-today;elections-2020;center;Biased;Expresses writer’s opinion;['freewheeling']
Currently, women make up only about a quarter of workers in STEM careers, and they earn considerably less than men.;https://www.today.com/popculture/all-women-s-super-bowl-ad-helping-close-stem-gender-t173003;msnbc;gender;left;Non-biased;Entirely factual;[]
Nearly 60 percent of Americans now support the marginal tax rate program Ocasio-Cortez has proposed uncluding a remarkable 45 percent of Republicans, despite all the work right-wing media has done to demonize Ocasio-Cortez and anything related to her.;https://feeds.feedblitz.com/~/593581096/0/alternet_all~Alexandria-OcasioCortez-is-absolutely-right-%e2%80%94-there-shouldn%e2%80%99t-be-any-billionaires/;alternet;middle-class;left;Biased;Somewhat factual but also opinionated;['marginal', 'demonize']
But even those who take steps to better their financial situation often end up stunting their opportunities in the long run thanks to the high cost of financial services. College offers a prime example.;https://www.huffpost.com/entry/bank-fees-high-cost-low-income_l_5c5ccfd9e4b03afe8d65f468;huffpost;student-debt;left;Non-biased;Somewhat factual but also opinionated;[]
While Pence and the president have tried to paint a rosier picture of the virus and project a return to normalcy, some members of the task force are eager to resume appearances from White House grounds;https://www.nbcnews.com/politics/2020-election/top-members-coronavirus-task-force-advised-against-trump-s-tulsa-n1231585;msnbc;coronavirus;left;Non-biased;Entirely factual;[]
The plan would particularly benefit black, Latino and lower-income households, as well as households headed by people who never finished college, the researchers said.;https://www.huffpost.com/entry/elizabeth-warren-student-debt_n_5cbcd065e4b032e7ceb9b51b;huffpost;student-debt;left;Non-biased;Entirely factual;[]
"Almost all of this is gibberish; Trump still can’t speak coherently about California’s wildfires; and no officials in the Golden State ever conceded that he was “right” about the subject, because he wasn’t.";http://www.msnbc.com/rachel-maddow-show/his-environmental-record-trump-turns-greenhouse-gaslighting;msnbc;environment;left;Biased;Expresses writer’s opinion;['gibberish']
Aides and supporters of both senators, who have more or less remained allies even while running against each other for the 2020 Democratic presidential nomination, had accused each other of dirty tricks and lying in recent days after a series of leaks to the media, culminating in Warren saying in a statement that Sanders once told her he didn't think a woman could win the presidency.;https://www.nbcnews.com/politics/2020-election/warren-sanders-de-escalate-campaign-feud-over-contested-remark-n1115881?cid=public-rss_20200115;msnbc;gender;left;Non-biased;Entirely factual;[]
Malinowski, a Democrat representing New Jersey’s seventh congressional district, said in a call that he would threaten McConnell by withholding Lysol for his constituents.;https://www.breitbart.com/politics/2020/04/09/democrat-tom-malinowski-jokes-about-withholding-coronavirus-disinfectant-from-kentuckians/;breitbart;coronavirus;right;Non-biased;Entirely factual;[]
Elizabeth Warren and Bernie Sanders disagreed in a Democratic presidential debate on Tuesday over whether he once told her a woman could not win the White House in 2020, underlining an emerging rift between the progressive contenders as the first voting nears.;https://www.reuters.com/article/us-usa-election-debate/sanders-warren-spar-over-disputed-remark-about-chances-of-a-woman-defeating-trump-idUSKBN1ZD19Y?feedType=RSS&feedName=topNews;reuters;gender;center;Non-biased;No agreement;[]
But the Christian Right embodies a dangerous form of Christianity that is bitterly anti-science, and its ideology goes hand in hand with white nationalism and the coronavirus truther movement.;https://www.alternet.org/2020/04/how-the-coronavirus-pandemic-shows-that-christian-white-nationalism-is-a-much-greater-threat-to-the-us-than-radical-islam/;alternet;white-nationalism;left;Biased;Expresses writer’s opinion;['truther', 'bitterly', 'anti-science']
A recent study found that college students from high-income households are borrowing more money for school than students from households with lower incomes. The report added that students from wealthier families are responsible for some of the more drastic borrowing increases in recent years.;https://www.breitbart.com/tech/2019/12/06/report-wealthy-college-students-borrow-more-money-for-education/;breitbart;student-debt;right;Non-biased;Entirely factual;[]
Hungarian Prime Minister Viktor Orban, a staunch anti-immigrant populist, said on Wednesday a new wave of migrants trying to cross the border from Turkey into the European Union must be stopped as far south as possible and his government was ready to help frontline Greece.;https://www.reuters.com/article/us-europe-migrants-centraleurope/hungary-will-defend-eu-against-migrant-wave-orban-says-idUSKBN20R1H0;reuters;immigration;center;Biased;Somewhat factual but also opinionated;['staunch', 'anti-immigrant']
Americans Need To Stop Hurrying Young People Into Student Debt Slavery. Above all, we must give high schoolers personalized post-secondary educational recommendations before they get caught in the quagmire of student debt.;https://thefederalist.com/2020/01/23/americans-need-to-stop-hurrying-young-people-into-student-debt-slavery/;federalist;student-debt;right;Biased;Expresses writer’s opinion;['Student', 'Debt', 'slavery', 'quagmire']
Think about it — universal background checks require that Americans get permission from the government before buying a gun in any setting, retail or private.;https://www.breitbart.com/2nd-amendment/2019/01/13/house-democrats-gun-control-unenforceable-without-firearm-registry/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gun-control;right;Non-biased;No agreement;[]
Specifically, Republicans–as they have demonstrated for three consecutive legislative days–intend to push for a floor vote against Democrat Speaker Nancy Pelosi’s wishes on a piece of legislation from Rep. Ann Wagner (R-MO) that would ensure babies who are born alive following an abortion attempt are given the same medical treatment and care any other newborn baby would receive.;https://www.breitbart.com/politics/2019/02/08/exclusive-house-gop-plans-sustained-effort-to-expose-leftist-democrats-on-abortion/amp/?__twitter_impression=true;breitbart;abortion;right;Non-biased;Entirely factual;[]
The GOP controls both the legislature and the Michigan State Capitol Commission — the two entities that could enact a ban — and neither appears willing to act.;https://www.huffpost.com/entry/michigan-guns-state-capitol-gretchen-whitmer_n_5eb9a9d7c5b61f60ffd9a857;msnbc;gun-control;left;Non-biased;No agreement;[]
The fear was well-deserved, since Trump has also made a number of dangerous comments about vaccines, linking immunizations to cases of autism and suggesting we need different vaccination schedules for small children…;https://thefederalist.com/2017/02/27/vaccine-mandates-put-vulnerable-peoples-health-lives-risk/;federalist;vaccines;right;Biased;Somewhat factual but also opinionated;['dangerous']
As the former vice president criticizes President Donald Trump's cuts to programs for the poor, he is likely to face questions about his own record.;https://www.nbcnews.com/politics/2020-election/biden-camp-won-t-say-whether-he-stands-welfare-reform-n1132006?cid=public-rss_20200210;msnbc;middle-class;left;Non-biased;Somewhat factual but also opinionated;[]
It wasn't long after Donald Trump and his team took office that they looked for ways to make things easier for polluters.;https://www.msnbc.com/rachel-maddow-show/even-trump-s-handpicked-scientists-balk-his-approach-science-n1114521;msnbc;environment;left;Biased;Expresses writer’s opinion;['polluters']
U.S. President Donald Trump is doing well and is very healthy, White House adviser Kellyanne Conway told Fox News on Thursday, after a U.S. military official who worked at the White House was found to have been infected with the novel coronavirus.;https://www.reuters.com/article/us-health-coronavirus-usa-conway/trump-doing-well-after-presidents-valet-tests-positive-for-virus-conway-idUSKBN22J2W0;reuters;trump-presidency;center;Non-biased;Entirely factual;[]
President Donald Trump sparked ire on Tuesday after he spread yet another conspiracy theory, this time about wind farms.;https://www.huffpost.com/entry/donald-trump-wind-farm-conspiracy-theory_n_5ca4517ae4b094d3f5c38c6d;huffpost;environment;left;Biased;Somewhat factual but also opinionated;[]
The 2016 election of Donald Trump as president so outraged large groups of women that they protested against him in record numbers the day after his inauguration.;https://eu.usatoday.com/story/news/nation/2020/01/16/womens-march-2020-looks-re-energize-amid-dwindling-enthusiasm/4469139002/;usa-today;gender;center;Non-biased;Entirely factual;[]
While President Trump visited the southern border Thursday, Democratic darling Beto O’Rourke visited the dentist — posting a bizarre video showing him getting a mouth-wide-open cleaning in order to highlight the story of his dental hygienist’s upbringing in El Paso.;https://www.foxnews.com/politics/beto-orourke-posts-video-of-him-at-the-dentist-to-highlight-life-on-the-border;fox-news;immigration;right;Biased;Somewhat factual but also opinionated;['Democratic', 'darling', 'bizarre']
The ideas promoted by anti-vaccination groups — which rely on pseudoscience and conspiracy theories about the government and pharmaceutical companies — are false.;https://www.nbcnews.com/tech/internet/anti-vaccination-groups-still-crowdfunding-facebook-despite-crackdown-n1064981;msnbc;vaccines;left;Non-biased;Entirely factual;[]
But it’s getting increasingly difficult to maintain the myth that the enormous wealth inequality in not just American society but the entire world somehow reflect a system that’s fairly rewarding people for their talent and labor.;https://feeds.feedblitz.com/~/593581096/0/alternet_all~Alexandria-OcasioCortez-is-absolutely-right-%e2%80%94-there-shouldn%e2%80%99t-be-any-billionaires/;alternet;middle-class;left;Biased;Expresses writer’s opinion;['myth']
The safe, heavily researched HPV vaccine remains tragically under-used — and anti-vaccine movies and conferences could make it more so if we’re not careful.;https://www.nbcnews.com/think/opinion/hpv-vaccine-trial-anti-vaxxers-mobilize-against-effective-cancer-prevention-ncna1033161;msnbc;vaccines;left;Biased;Expresses writer’s opinion;['tragically']
Instagram will start blocking any hashtags spreading misinformation about vaccines, becoming the latest internet platform to crack down on bad health information.;https://eu.usatoday.com/story/tech/news/2019/05/09/instagram-hashtags-vaccine-misinformation-soon-get-blocked/1154046001/;usa-today;vaccines;center;Non-biased;Entirely factual;[]
Major League Baseball is using its financial muscle to support the U.S. women's softball team, which already is assured a spot in the Tokyo Olympics while the American men's baseball team struggles to qualify.;https://www.foxnews.com/sports/major-league-baseball-to-sponsor-us-olympic-softball-team;fox-news;sport;right;No agreement;No agreement;['financial', 'muscle']
The resolution, which the House had approved in March, marked a rare bipartisan effort to curb Trump's powers and underscored lingering concerns among some lawmakers that tensions with Tehran could escalate into a war. Supporters have acknowledged they do not have enough support to override Trump's veto, the seventh of his presidency.  ;https://eu.usatoday.com/story/news/politics/2020/05/06/trump-vetoes-bipartisan-measure-limiting-his-military-powers-iran/5179263002/;usa-today;trump-presidency;center;Non-biased;Entirely factual;[]
That’s led some vaccine foes to join the protesters — whom Trump has encouraged on Twitter — in staging demonstrations in state capitals to “reopen America.”;https://www.alternet.org/2020/04/anti-vaxxers-are-latching-onto-the-coronavirus-pandemic-to-bolster-their-movement/;alternet;vaccines;left;Biased;No agreement;['vaccine', 'foes']
Instead, they want to force women and their doctors to subject dying newborns to further horrific medical intervention, to needles and lights and loud voices and scalpels and machines that will only prolong the inevitable, only prolong their pain.;https://feeds.feedblitz.com/~/601350538/0/alternet_all~Trump%e2%80%99s-new-big-lie-Women-and-doctors-are-plotting-to-execute-newborn-babies/;alternet;abortion;left;Biased;Expresses writer’s opinion;['horrific']
But in her rush for snarky liberal-bashing, Swoyer misses the real story about Alexandria Ocasio-Cortez’s pricey haircut: the blatant and disparate “female tax” that women in power must pay to achieve and maintain their power.;https://www.alternet.org/2019/10/the-real-scandal-behind-aocs-haircut/;alternet;gender;left;Biased;Expresses writer’s opinion;['snarky', 'liberal-bashing', 'blatant', 'disparate']
It remains to be seen how players — whose wages span a wide spectrum in a league with no salary cap — will respond to the request following calls from government ministers to cut their often-astronomical wages.;https://www.nbcnews.com/news/world/coronavirus-pressure-grows-u-k-soccer-stars-cut-pay-crisis-n1175851?cid=public-rss_20200403;msnbc;sport;left;Biased;Somewhat factual but also opinionated;['often-astronomical']
That meant anyone walking into a branch with a certain level of assets instantly became a target for multiple offers. Customers with lower incomes were less of a priority, increasingly treated as little more than a source of fee harvesting.;https://www.huffpost.com/entry/bank-fees-high-cost-low-income_l_5c5ccfd9e4b03afe8d65f468;huffpost;student-debt;left;Biased;Somewhat factual but also opinionated;['fee', 'harvesting']
While the major baseball leagues won’t be affected much by tariffs on Chinese imports, everyone from Double A players down through the office softball team will be.;https://www.alternet.org/2019/09/everything-you-need-to-play-baseball-is-made-in-china-and-getting-hit-by-trumps-tariffs/;alternet;sport;left;Non-biased;Entirely factual;[]
The figure of 78 cents to a man’s dollar is familiar to many of us: for each dollar that men earn, women earn 78 cents.;https://www.alternet.org/2019/01/women-wont-ask-a-man-for-more-pay-but-they-will-ask-a-woman-researcher/;alternet;gender;left;Non-biased;Entirely factual;[]
So it was creepy when Obama was trying to replace American idealism with progressivism and calling it “economic patriotism,” and it’s creepy when Trump does basically the same thing under the guise of economic nationalism.;https://thefederalist.com/2017/01/24/trumps-national-day-patriotic-creepy/;federalist;white-nationalism;right;Biased;Expresses writer’s opinion;['creepy']
Banks lamented that China has now become a partisan issue simply because Trump has blamed China for trying to hide the discovery of the coronavirus in Wuhan, China, and allowing it to spread to the rest of the world.;https://www.breitbart.com/politics/2020/04/02/rep-jim-banks-saw-coronavirus-threat-coming-as-democrats-pushed-impeachment/;breitbart;coronavirus;right;Biased;Somewhat factual but also opinionated;['lamented']
Gamblers and reality TV stars can claim bankruptcy protections when in financial trouble, but 44 million student loan borrowers can’t. Unemployed, underpaid, destitute, sick, or struggling borrowers simply aren’t able to start anew.;https://www.alternet.org/2018/09/ending-secrecy-student-debt-crisis/;alternet;student-debt;left;Biased;Expresses writer’s opinion;['destitute']
The player vote ending Thursday at midnight—a simple majority vote will determine the outcome of the NFL CBA—is a monumental referendum for the next decade of the NFL.;https://profootballtalk.nbcsports.com/2020/03/09/nfl-cba-nflpla-vote-fmia-peter-king/?cid=eref:nbcnews:text?cid=public-rss_20200310;msnbc;sport;left;Non-biased;Entirely factual;[]
"Women were allowed into Saudi sports stadiums a year ago for the first time to watch soccer matches, although they were segregated in the stands, sticking to the ""family section"" away from all-male crowds elsewhere.";https://eu.usatoday.com/story/sports/soccer/2019/01/03/status-of-women-at-italian-game-in-sarabia-draws-criticism/38836589/;usa-today;sport;center;Non-biased;Entirely factual;[]
So Acevedo’s war on gun shows would do little to prevent criminals from getting guns, but it might keep a grandpa from buying a shotgun he was going to use to duck hunt with his grandson.;https://www.breitbart.com/politics/2019/02/04/houston-top-cop-we-do-not-need-prayers-we-need-gun-control/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gun-control;right;Non-biased;Expresses writer’s opinion;[]
Last summer, the Republican White House announced plans to roll back the tougher standards, making it easier for the automotive industry to sell less efficient vehicles that pollute more.;http://www.msnbc.com/rachel-maddow-show/auto-industry-trump-youre-going-the-wrong-way-emissions;msnbc;environment;left;Non-biased;Entirely factual;[]
Meanwhile, Americans and foreigners scrambled to work out what it meant for their plans to travel to the U.S. Others questioned the logic of Trump's move and whether it would actually help the effort to slow the spread of the contagion.;https://www.nbcnews.com/news/world/coronavirus-europe-wakes-chaos-confusion-trump-restricts-travel-n1156286;msnbc;coronavirus;left;Non-biased;Entirely factual;[]
After winning his 15th major championship, the legendary golfer Tiger Woods got a chance to laugh at all who doubted him.;https://www.huffpost.com/entry/tiger-woods-masters-win-fan-reaction_n_5cb4c342e4b0ffefe3b4c801;huffpost;sport;left;Non-biased;Expresses writer’s opinion;[]
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ";https://eu.usatoday.com/story/news/crime/2019/09/16/fetal-remains-found-illinois-home-ex-indiana-abortion-doctor/2339342001/;usa-today;abortion;center;Non-biased;Entirely factual;[]
The spectacular rise of human civilization that took place during the last 10,000 years now appears to be coming to an end with the refusal of our species to significantly curb the carbon emissions and pollutants that might cause human extinction.;https://www.alternet.org/2019/04/a-professor-of-astrophysics-explains-why-humans-are-on-the-path-to-self-destruction-not-the-first-time-theres-been-a-civilization-in-the-universe/;alternet;environment;left;No agreement;Somewhat factual but also opinionated;[]
Tokyo Games is even more of a dream fulfilled for the small baseball community in Israel, comprised mostly of American immigrants, and which has languished for decades in the country’s sporting wilderness.;https://www.breitbart.com/middle-east/2020/01/15/israels-unlikely-olympic-baseball-team-dreams-big-for-japan/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;sport;right;Non-biased;Entirely factual;['languished']
Former Vice President Joe Biden lied on Monday about his past position on the best way to deal with the novel Wuhan coronavirus rapidly spreading worldwide that would eventually bloom into a global pandemic.;https://thefederalist.com/2020/06/02/joe-biden-lies-in-a-church-about-past-position-on-coronavirus/;federalist;coronavirus;right;Biased;Expresses writer’s opinion;['lied', 'Wuhan', 'Coronavirus', 'bloom']
President Trump poked fun at Sen. Amy Klobuchar, D-Minn., Sunday for vowing to tackle climate change as she kicked off her 2020 presidential campaign in a snowy, freezing Minneapolis park.;https://www.foxnews.com/politics/trump-pokes-fun-klobuchar-climate-change-stance-as-she-announces-candidacy-in-snow;fox-news;environment;right;Biased;Somewhat factual but also opinionated;['poked', 'fun']
The fatal shooting of the promising honors student sparked outrage in her hometown and became the symbol of a larger conversation on the scourge of gun violence.;https://www.nbcnews.com/news/us-news/gun-violence-claimed-chicago-teen-hadiya-pendleton-s-life-her-n1154906?cid=public-rss_20200311;msnbc;gun-control;left;Biased;Somewhat factual but also opinionated;['scourge']
The cancellation of Olympic qualifying events wreaks havoc with athletes waiting to advance, organizers and federations forced to find new venues — not to mention disrupting hotel reservations, airplane flights, and ticket reservations.;;fox-news;sport;right;No agreement;Somewhat factual but also opinionated;['havoc']
Victoria’s Secret spring campaign featuring transgender and plus-sized models marks a dramatic shift toward progressive feminism for Victoria’s Secret, which has been roiled by management changes in the past year.;https://www.breitbart.com/entertainment/2020/03/19/victorias-secret-launches-transgender-plus-sized-campaign-in-midst-of-coronavirus-pandemic/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gender;right;No agreement;No agreement;['dramatic']
We might note that at the time of this Texas ruling, national liberals were spluttering with outraged opposition.;https://www.breitbart.com/politics/2020/01/01/pinkerton-the-attacks-in-new-york-and-texas-move-the-gun-control-debate-in-the-direction-the-founders-wanted/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gun-control;right;Biased;Somewhat factual but also opinionated;['spluttering', 'outraged']
Reportedly, some of the NRA’s payments that may constitute a conflict of interest pass through financial channels that intentionally obscure the recipients.;https://www.alternet.org/2019/04/nra-could-lose-tax-exempt-status-report/;alternet;gun-control;left;Non-biased;Somewhat factual but also opinionated;['obscure']
President Donald Trump and Congress are taking official action to honor the passing of Rev. Billy Graham last Wednesday, through a presidential proclamation and the announcement that Graham’s body will lie in honor in the U.S. Capitol—only the fourth private citizen in American history to receive such honors.;https://www.breitbart.com/politics/2018/02/25/trump-congress-honor-billy-graham/;breitbart;trump-presidency;right;Non-biased;Entirely factual;[]
During a rare public address last week, the former president appeared to challenge Trumpism while urging U.S. voters to resist detractors of American democracy;https://www.politico.com/story/2017/10/23/bannon-bush-mccain-speeches-pablum-244083;breitbart;trump-presidency;right;Biased;Somewhat factual but also opinionated;['Trumpism']
Welcome to the longest U.S. economic expansion in history, one perhaps best characterized by the excesses of extreme wealth and an ever-widening chasm between the unfathomably rich and everyone else.;https://www.reuters.com/article/us-usa-election-inequality-poll/majority-of-americans-favor-wealth-tax-on-very-rich-reuters-ipsos-poll-idUSKBN1Z9141;reuters;middle-class;center;Biased;Somewhat factual but also opinionated;['ever-widening', 'chasm', 'rich', 'unfathomably']
The progressive push to bend Americans’ attitudes and their male-and-female civic society around the idea of “gender identity” has already attacked and cracked many of the popular social rules that help Americans manage the cooperation and competition among and between complementary, different, and equal men and women.;https://www.breitbart.com/politics/2019/02/21/transgenderism-a-mans-penis-can-be-a-female-penis/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gender;right;No agreement;No agreement;[]
"Thousands of gun owners and gun rights supporters gathered Monday at Virginia's Capitol for a ""peaceful day to address our Legislature"" that appeared to generate none of the violence feared by some state leaders.";https://eu.usatoday.com/story/news/nation/2020/01/20/virginia-gun-rally-protest-draws-national-militias-fear-violence/4519076002/;usa-today;gun-control;center;Non-biased;Entirely factual;[]
