text;news_link;outlet;topic;type;label_bias;label_opinion;biased_words
An Iranian student traveling to East Lansing, Michigan, to start his first week at Michigan State University was forced by federal agents to return to his home country.;http://rssfeeds.usatoday.com/~/617278155/0/usatoday-newstopstories~Federal-agents-detain-Michigan-State-graduate-student-force-his-return-to-Iran/;USA Today;islam;;Non-biased;Entirely factual;[]
An Oklahoma Democrat elected Tuesday will make history as the first Muslim in the Oklahoma Legislature and the first nonbinary legislator in America.;http://rssfeeds.usatoday.com/~/638330112/0/usatodaycomwashington-topstories~Oklahoma-elects-Mauree-Turner-the-nations-first-Muslim-nonbinary-state-legislator/;USA Today;islam;;Non-biased;Entirely factual;[]
And a month of nationwide protests against police violence gave new political heft to calls to defund police departments, forcing de Blasio to shift from his original April proposal of cutting NYPD funding by less than 1% while slashing youth services.;https://www.reuters.com/article/us-minneapolis-police-new-york-idUSKBN2413CS;Reuters;black lives matter;center;Non-biased;Entirely factual;[]
And although nearly every Republican has sold their souls to Trump, none of them want to cross someone with the moral authority of Gen. Mattis, who counseled Americans in no uncertain terms to abandon Trump.;https://www.alternet.org/2020/06/republicans-are-reeling-as-trump-comes-under-fire/;Alternet;trump-presidency;left;Non-biased;No agreement;['sold', 'their', 'souls']
And amid the left-wing effort to demonize and defund police in America, Miranda has endorsed the radical Black Lives Matter movement that is smearing those police.;http://feedproxy.google.com/~r/breitbart/~3/rM_C19ktiGA/;Breitbart;gun control;right;Biased;Somewhat factual but also opinionated;['demonize', 'smearing', 'demoize']
And as discussed below, the idea that there is a real personal trait called “gender” that challenges or invalidates the identity significance of biological sex is equally fallacious.;http://feedproxy.google.com/~r/breitbart/~3/8iDghdiqDOY/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['fallacious']
And combined with his Zoom calls into MSNBC and CNN, and sending out Kamala to give a prebuttal to Trump, it doubles down on the idea in the mind of those who aren’t that partisan that Biden is a weak figure, operating out of fear, with no answer except a return to lockdown and mandatory masks outside until a vaccine is widely available.;https://thefederalist.com/2020/08/28/democrats-failed-the-convention-optics-test/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['weak', 'out', 'of', 'fear']
And has there ever been a more nauseating spectacle of empty gesture politics than Nancy Pelosi and her crew parading in African garb in the Congress last week?;https://www.foxnews.com/opinion/steve-hilton-trump-can-give-voters-a-choice-reform-the-police-with-him-or-abolish-them-with-democrats;Fox News;marriage-equality;;Biased;Expresses writer’s opinion;['nauseating', 'spectacle', 'empty']
And he angrily demanded credit for having restricted travel from China earlier, saying that subsequent events had vindicated him — a typical egomaniacal gesture from the president.;http://www.msn.com/en-us/news/opinion/trump-needs-to-worry-about-the-stock-market-less-and-pandemic-preparedness-more/ar-BB10ttK6?ocid=st2;MSNBC;vaccine;;Biased;Somewhat factual but also opinionated;['angrily', 'egomanical', 'egomaniacal']
And here is an unconfirmed report — from a retired Metropolitan Police officer — that rank-and-file police in Bristol wanted to intervene but were overruled by their woke superiors.;http://feedproxy.google.com/~r/breitbart/~3/2RH0NVHEl6Q/;Breitbart;marriage-equality;;Biased;Somewhat factual but also opinionated;['woke']
And his demagoguery around the Central American immigrant caravans and asylum-seekers continually obscure the fact that asking for asylum is an entirely legal form of immigration — even though Trump and his defenders now like to call it a “loophole.”;https://www.alternet.org/2019/03/the-trump-administration-keeps-revealing-its-bigotry-against-immigration-even-if-its-legal/;Alternet;immigration;left;Biased;Somewhat factual but also opinionated;['demagoguery']
And if Bezos imagines that this act of blatant greenwashing will do anything either to save the planet or make the world a better place than he is living in cloud cuckoo land.;http://feedproxy.google.com/~r/breitbart/~3/IEXwhuO5lrc/;Breitbart;taxes;right;Biased;Expresses writer’s opinion;['blatant', 'cloud', 'cuckoo', 'land', 'living', 'in']
And if history is any guide, shootings often spur interest in gun laws, including red flag bills.;https://eu.usatoday.com/story/news/nation/2019/05/01/red-flag-laws-temporarily-take-away-guns/3521491002/;USA Today;gun-control;center;Non-biased;Entirely factual;[]
And if we look at a subset of guns which the left  loves to deride - rifles, for instance - then a clearer picture about gun deaths is quickly visible.;https://www.breitbart.com/entertainment/2020/03/30/monty-python-john-cleese-mocks-americans-for-buying-guns-during-virus-crisis/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;Breitbart;gun-control;right;Biased;Expresses writer’s opinion;['deride']
And in no sane world is Harris a moderate, but that is how the New York Times cast her in its continuing delusional coverage of the election.;https://thefederalist.com/2020/08/17/7-big-stories-corporate-media-is-ignoring-because-the-truth-might-help-trump/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['no', 'sane', 'delusional']
And in return for the value you have created, the employment you have provided and the tax revenue you have generated, all you get is a bunch of chippy socialists and whiny Remoaners accusing you of being selfish, greedy, and unpatriotic.;https://www.breitbart.com/europe/2019/02/17/britains-richest-businessman-does-a-john-galt/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;Breitbart;middle-class;right;Biased;Expresses writer’s opinion;['chippy', 'whiny', 'selfish', 'greedy', 'unpatriotic']
And making matters worse is that Trump refuses to condemn the violence from the far-right because doing so would undermine his mendacious claim that leftists are responsible for a lion's share of the mayhem.;https://www.alternet.org/2020/08/republicans-are-running-on-a-big-lie-and-its-getting-people-ed/;Alternet;black lives matter;left;Biased;Somewhat factual but also opinionated;['mendacious', 'claim', 'mayhem']
And most egregiously, in what will surely be viewed as one of the most ill-advised stunts in presidential history, the Trump Administration had federal security forces use tear gas and projectiles to vacate Lafayette square by force of arms so Trump could make a show of walking over to St. John’s Church and posing awkwardly with a bible held upside down.;https://www.alternet.org/2020/06/trump-thought-brutalizing-protesters-would-save-him-he-was-wrong/;Alternet;elections-2020;left;Biased;Somewhat factual but also opinionated;['egregiously', 'ill-advised', 'awkwardly', 'akwardly']
And no one could ever forget, or forgive, the attempted Democratic character assassination of Justice Brett Kavanaugh two years ago.;https://thefederalist.com/2020/09/22/democrats-ramp-up-their-war-on-americas-institutions-promising-riots-if-trump-nominates-a-justice/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['forgive', 'assassination']
And nothing about Trump's performance as president thus far should give anyone the confidence that he has the ability to right this ship.;https://www.alternet.org/2020/02/trump-is-already-bungling-the-coronavirus-response-and-it-could-get-much-worse/;Alternet;vaccine;;Non-biased;Expresses writer’s opinion;[]
And now we’re living through the 1619 Riots, and now the mask has been completely removed from the Democrat Party and media as we see vandalism, the desecration of our history, occupation, violent assaults against police and citizens, and the end of the rule of law encouraged, championed, and normalized.;http://feedproxy.google.com/~r/breitbart/~3/f1fSQQjH1NE/;Breitbart;gun control;right;Biased;No agreement;['desecration', 'end', 'of', 'the', 'rule', 'and', 'law']
And now, some children from anti-vaccination families are seeking help as they confront fears that they will become infected.;https://www.breitbart.com/politics/2019/02/13/measles-outbreak-causes-teens-from-anti-vaccine-families-to-seek-help/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;Breitbart;vaccines;right;Non-biased;Entirely factual;[]
And one particularly radical idea is sure to grab the attention of young people around the country: wiping out student loan debt for the vast majority of American borrowers.;https://www.huffpost.com/entry/elizabeth-warren-student-debt_n_5cbcd065e4b032e7ceb9b51b;HuffPost;student-debt;left;Biased;Somewhat factual but also opinionated;['grab', 'radical']
And rather than falter or die of old age, the expansion has continued through Trump’s first three years in office, giving him a trump card in the campaign to win a second term in November.;https://www.breitbart.com/news/trumps-election-trump-card-a-healthy-economy/;Breitbart;taxes;right;Biased;Somewhat factual but also opinionated;['trump', 'card']
And so, while demonstrations began to spread and police engaged in ruthless attacks on nonviolent protesters, Americans have been subjected to Trump trying — feebly, but at great cost to both taxpayers and public safety — to assuage his ego by demanding that his real life display of weenie-ness be “fixed” with reshoots and post-production edits.;https://www.alternet.org/2020/06/bunker-boy-trump-thinks-he-can-edit-reality-like-tv-show/;Alternet;trump-presidency;left;Biased;Somewhat factual but also opinionated;['ruthless', 'feebly', 'ego', 'weenie-ness']
And sure, Republicans are stupid enough to go out and get infected, doing the virus’ dirty work for it. But the economy isn’t going anywhere as long as most people, who are sane and smart, refuse to put themselves in danger for a movie or haircut.;https://www.alternet.org/2020/05/sweden-is-testing-conservatives-preferred-coronavirus-response-and-its-not-going-well/;Alternet;coronavirus;left;Biased;Expresses writer’s opinion;['stupid', 'enough']
And the oligarch billionaires have been waiting for just this moment, funding massive voter suppression, right-wing media, politicians who tell us that up is down, and efforts to keep their colleague, billionaire Donald Trump, in office.;https://www.alternet.org/2019/10/ronald-reagan-launched-an-attack-on-the-middle-class-we-must-reverse-it-to-save-our-democracy/;Alternet;middle-class;left;Biased;Expresses writer’s opinion;['oligarch', 'colleague']
And the result this past weekend in Virginia’s 5th congressional district GOP primary, where first term Rep. Denver Riggleman lost to Bob Good, a Christian-sharia-loving, anti-LGBTQ, anti-immigrant bigot, is just the latest example of where the GOP is heading with or without Trump.;https://www.thedailybeast.com/its-not-just-trump-the-gop-is-getting-crueler-and-crazier?source=twitter&via=desktop;Daily Beast;marriage-equality;;Biased;Expresses writer’s opinion;['Christian-sharia-loving', 'bigot']
And the risk that failure by governments to limit the magnitude of climate change and adapt to it has risen to second place in the annual Global Risks Report in terms of both likelihood and impact, compared to only fifth place and fourth place in those categories last year in the survey.;https://www.reuters.com/article/us-davos-meeting-climatechange/failure-to-curb-climate-change-a-top-risk-davos-survey-idUSKCN1PA13J;Reuters;environment;center;Non-biased;Entirely factual;[]
And then along came President Barry Obama, who spent trillions of dollars on — what the hell did he spend all that money on?;http://feedproxy.google.com/~r/breitbart/~3/ksXbL6hU-Ko/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['what', 'the', 'hell']
And when Trump refuses to bow to the howling shrieks of the political correctness brigade and actually speaks openly and boldly about getting a good deal for Americans, it’s still refreshing, even as his first term nears a close.;http://feedproxy.google.com/~r/breitbart/~3/YpAMgiKfTVc/;Breitbart;universal health care;right;Biased;Expresses writer’s opinion;['howling', 'shrieks', 'brigade', 'political', 'correctness', 'refreshing']
And while he pursues gun-control legislation, Biden has promised to use his powers “to ban the importation of assault weapons.”;https://www.reuters.com/article/us-usa-election-biden-policy-factbox/factbox-biden-could-change-these-key-policies-on-day-one-in-the-white-house-idUSKBN27N0W2;Reuters;gun control;center;Non-biased;Entirely factual;[]
And while some of these more cartoonish members are still on Capitol Hill we’re occasionally reminded about the torch being passed to a new generation of lawmakers who are equally difficult to take seriously.;http://www.msnbc.com/rachel-maddow-show/what-it-takes-get-congress-take-closer-look-gun-violence;MSNBC;gun-control;left;Biased;Expresses writer’s opinion;['cartoonish']
And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled, New Jersey has chosen a different path, encouraging students to buy life insurance to cover their debt and take co-signers off the hook in the event of a tragedy;https://www.alternet.org/2016/07/nj-forces-mom-pay-sons-student-loans-murder-does-not-meet-threshold-loan-forgiveness/;Alternet;student-debt;left;Non-biased;Entirely factual;[]
And yes, there’s something in the Fox News DNA over the years that has meant that women political opponents spark a deeper sense of outrage and hate.;https://www.deepl.com/translator#en/ru/And%20yes%2C%20there’s%20something%20in%20the%20Fox%20News%20DNA%20over%20the%20years%20that%20has%20meant%20that%20women%20political%20opponents%20spark%20a%20deeper%20sense%20of%20outrage%20and%20hate.;Alternet;gender;left;Biased;Expresses writer’s opinion;['DNA']
And yet lately, higher officials in the Democratic Party have started to express at least some sympathy for the devils — these destroyers of public peace.  ;http://feedproxy.google.com/~r/breitbart/~3/5pywzFgiyjs/;Breitbart;taxes;right;Biased;Expresses writer’s opinion;['devils', 'destroyers']
And, of course, along the way, the hipster CEO is absolved of any responsibility to help uphold good cultural order.;http://feedproxy.google.com/~r/breitbart/~3/h_wTCa6-K54/;Breitbart;taxes;right;Non-biased;Somewhat factual but also opinionated;['hipster']
Andres Iniesta, the former Barcelona captain and World Cup-winning Spanish soccer star, apologized Tuesday after being criticized for posting a picture of him posing with two people clad in blackface during a popular Christian celebration.;https://www.foxnews.com/sports/spanish-soccer-star-andres-iniesta-apologizes-for-blackface-photo;Fox News;sport;right;Non-biased;Entirely factual;[]
Andrew Cuomo Has A New Plan To Kill New Yorkers;https://thefederalist.com/2020/09/25/andrew-cuomo-has-a-new-plan-to-kill-new-yorkers/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['kill']
Andreyah Garland, a 44-year-old single mother of three daughters, bought a shotgun in May for protection in the quaint middle-class town of Fishkill, New York. ;https://www.reuters.com/article/domesticNews/idUSKBN2701G1?il=0;Reuters;gun control;center;Biased;Entirely factual;['quaint']
Angry Democrats blamed Republicans for what they see as a debacle that could leave millions of Americans without health care. ;https://www.breitbart.com/news/outraged-democrats-vow-to-challenge-court-ruling-undercutting-obamacare/;Breitbart;coronavirus;right;Biased;Somewhat factual but also opinionated;['Angry']
Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.;https://www.breitbart.com/news/kurdish-fighters-withdraw-from-besieged-syria-town/;Breitbart;international-politics-and-world-news;right;Non-biased;Entirely factual;[]
"Announcing and then signing a series of legally dubious executive orders, including an effort to slash the emergency federal unemployment boost by $200 from the $600 previously implemented by Democrats, Trump touted his order for a payroll tax ""holiday""—which experts noted would later have to be paid back—but said if he won in November that such a cut would become permanent.";https://www.alternet.org/2020/08/trump-just-admitted-on-live-television-he-will-terminate-social-security-and-medicare-if-he-wins-reelection/;Alternet;taxes;left;Biased;Somewhat factual but also opinionated;['dubious', 'touted']
Another Black candidate, physician Cameron Webb, beat three white opponents in the primary for a U.S. House seat representing central Virginia that Democrats hope to snatch from Republicans.;https://www.reuters.com/article/us-usa-election-congress-idUSKBN23V2MV;Reuters;blm;;Non-biased;Entirely factual;[]
Another BLM activist — apparently unaware of the illegality of mass gatherings during the Chinese coronavirus pandemic — questioned: “If you want to shout and scream at me that every life matters, why are you not in the streets showing me that my black life matters?”;http://feedproxy.google.com/~r/breitbart/~3/YtKdWl8LbKs/;Breitbart;black lives matter;right;Biased;Somewhat factual but also opinionated;['apparently', 'Chinese', 'coronavirus']
Another part of the problem is that the police have been brainwashed into imagining that the main threat to law and order and stability comes from the (largely mythical) far right — when it fact, for years, the far more significant threat comes from the hard left.;http://feedproxy.google.com/~r/breitbart/~3/2RH0NVHEl6Q/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['brainwashed', 'mythical']
Anthony Fauci has shown himself to be a feckless bureaucrat whose ego and cowardice has done more harm than good to the United States and world in a time we desperately needed precisely the opposite.;https://thefederalist.com/2020/12/08/thats-so-fauci-failing-up-while-botching-science-and-undermining-u-s-allies/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['feckless', 'ego', 'cowardice', 'harm']
Anthony Fauci, the top U.S. infectious diseases expert, apologized on Thursday after casting doubt over the rigor of the British regulators who approved the Pfizer vaccine against COVID-19 and said he had faith in their work.;https://www.reuters.com/article/us-health-coronavirus-britain-fauci-apol/fauci-apologizes-for-casting-doubt-over-uks-approval-of-pfizer-vaccine-idUSKBN28D3AH;Reuters;vaccine;;Non-biased;Entirely factual;[]
Antifa, short for “anti-fascist,” is an amorphous movement whose adherents oppose people or groups they consider authoritarian or racist, often using aggressive tactics, according to the Anti-Defamation League (ADL);https://www.reuters.com/article/uk-factcheck-false-george-soros-claims/fact-checkfalseclaims-about-george-soros-idUSKBN23P2XJ;Reuters;blm;;Non-biased;Entirely factual;[]
Anti-Muslim bigotry is one of the cornerstones of Trumpism.;https://www.thedailybeast.com/laura-loomer-trumpy-bigot-embraced-by-the-florida-gop-could-actually-get-to-congress?source=articles&via=rss;Daily Beast;islam;;Biased;Expresses writer’s opinion;['Trumpism']
Anti-racism activists poured red paint on a statue of an Italian colonial-era general and pasted over the name of a street in Rome on Friday to show solidarity with the Black Lives Matter movement in the United States.;https://www.reuters.com/article/us-minneapolis-police-italy-idUSKBN23Q26Z?taid=5eeccd14b353e80001153742&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter;Reuters;black lives matter;center;Non-biased;Entirely factual;[]
Anti-racism protests were triggered around the world following the death late last month of African American George Floyd after a Minneapolis police officer was filmed kneeling on the handcuffed Floyd’s neck for nearly nine minutes.;https://www.reuters.com/article/minneapolis-police-protests-australia/rpt-thousands-attend-black-lives-matter-protests-across-australia-idUSL4N2DQ04U;Reuters;black lives matter;center;Non-biased;Entirely factual;[]
Anti-vaccine groups take dangerous online harassment into the real world;https://www.nbcnews.com/health/kids-health/anti-vaccine-groups-take-dangerous-harassment-offline-real-world-n1096461;MSNBC;vaccines;left;Non-biased;Somewhat factual but also opinionated;['dangerous', 'harassment']
Anti-Vaxxer Rebecca Dalelio, 43, was taken into custody after she tossed a menstrual cup, which she said was filled with blood, from the public gallery as senators finished taking a vote at about 5:14 p.m.;https://www.breitbart.com/crime/2019/09/15/anti-vaxxer-arrested-throwing-menstrual-blood-california-senators/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;Breitbart;vaccines;right;Non-biased;Entirely factual;[]
Anti-vaxxers represent only about 2 percent of American families, although you’d be forgiven for thinking they’re more numerous. They certainly make a lot of noise and have some world-famous adherents. However, like malaria-carrying mosquitoes, this tiny group that punches above its weight may be on the verge of creating a public health problem for us all.;https://thefederalist.com/2017/02/28/protect-infant-world-anti-vaxxers/;Federalist;vaccines;right;Biased;Expresses writer’s opinion;['Anti-vaxxers', 'mosquitoes']
Anti-vaxxers were a source of misinformation long before the coronavirus pandemic, but the medical emergency appears to be bringing more of them out of the woodwork.;https://feeds.feedblitz.com/~/620324184/0/alternet_all~From-warning-against-%e2%80%98too-much-hand-washing%e2%80%99-to-asking-if-the-coronavirus-even-exists-here-are-of-the-most-bogus-claims-antivaxxers-are/;Alternet;vaccine;;Non-biased;Somewhat factual but also opinionated;['woodwork']
Anyone who has seen the Sky series Chernobyl will recognise the kind of stolid, bureaucratic mindset captured in this damning paragraph from the report.;http://feedproxy.google.com/~r/breitbart/~3/M1xgKTs6UKg/;Breitbart;universal health care;right;Biased;Expresses writer’s opinion;['stolid', 'damning', 'bureaucratic']
Anyone who has shouldered the burden of six-figure student loan debt knows the heavy toll it can take. ;https://www.huffpost.com/entry/student-loan-debt-mental-health_l_5cd60660e4b0796a95dc15a0;HuffPost;student-debt;left;Biased;Expresses writer’s opinion;['heavy', 'toll']
AOC and other liberals, minorities gain in U.S. congressional primary races;https://www.reuters.com/article/us-usa-election-congress-idUSKBN23V2MV;Reuters;blm;;Non-biased;Entirely factual;[]
AOC Ignores 130% Murder Increase in NYC, Claims Unemployment Leads People to ‘Shoplift’ Bread;http://feedproxy.google.com/~r/breitbart/~3/azH9Cc0ZdZs/;Breitbart;gun control;right;Biased;Somewhat factual but also opinionated;[]
AOC, like all powerful women, has to go through a rigorous beauty regimen simply to exist in the public eye.;https://www.alternet.org/2019/10/the-real-scandal-behind-aocs-haircut/;Alternet;gender;left;Non-biased;No agreement;[]
AP Confirms: Democrats Are Lying to the Public About Coronavirus Readiness...;https://www.breitbart.com/health/2020/02/27/ap-confirms-democrats-are-lying-to-the-public-about-coronavirus/;Breitbart;coronavirus;right;Non-biased;Somewhat factual but also opinionated;[]
Apparently, even many people within the gun rights movement are concerned and are working to prevent people from openly bringing weapons to the rally but with leaders like Tucker Carlson and Donald Trump rooting them on, the “good people” who will descend on Richmond on January 20 may feel like they have approval to light a spark.;https://www.alternet.org/2020/01/pro-gun-protesters-actively-yearning-for-a-civil-war-set-their-sights-on-virginia/;Alternet;gun-control;left;Biased;No agreement;[]
Appearing on CNN early Saturday morning national security expert Juliette Kayyem expressed frustration with Donald Trump after watching a clip of his contentious press conference from Friday, saying he is still not doing enough to contain the coronavirus pandemic spread.;https://feeds.feedblitz.com/~/620136458/0/alternet_all~Trump-slammed-by-national-security-expert-for-more-pandemic-bungling-%e2%80%98You-don%e2%80%99t-fight-a-war-through-charity-and-tweets%e2%80%99/;Alternet;vaccine;;Non-biased;Entirely factual;[]
"Appearing on CNN's ""New Day,"" national security expert Juliette Kayyem scoffed at a promise that Donald Trump made on Twitter Sunday night, where the president claimed his administration would have a good idea about how to handle the coronavirus pandemic in 15 days and go from there.";https://feeds.feedblitz.com/~/620216034/0/alternet_all~Trump%e2%80%99s-%e2%80%98bogus%e2%80%99-day-timeline-for-COVID-crisis-blown-up-by-national-security-expert/;Alternet;vaccine;;Biased;Somewhat factual but also opinionated;['claimed']
Appearing Tuesday Cheddar Live, Rep. Maxine Waters (D) formally endorsed former Vice President Joe Biden for the White House, claiming that President Donald Trump is “destroying America” and advocating for the killing of both black and white children in the wake of nationwide protests over the death of George Floyd.;https://www.breitbart.com/politics/2020/06/02/maxine-waters-endorses-biden-trump-talking-about-killing-young-white-children/;Breitbart;elections-2020;right;Biased;Somewhat factual but also opinionated;['claiming']
Apple and Google are facing criticism for offering an app that lets men in Saudi Arabia track and control the movement of women.;https://eu.usatoday.com/story/tech/news/2019/02/13/apple-google-criticized-saudi-app-lets-men-track-women/2857174002/;USA Today;gender;center;Non-biased;Entirely factual;[]
Apple and luxury labels such as Gucci have lowered their prices in China after a cut in its value-added tax (VAT) rate came into effect from April 1.;https://www.reuters.com/article/us-china-retail-vat/apple-luxury-brands-drop-china-prices-as-vat-cuts-take-effect-idUSKCN1RE085?feedType=RSS&feedName=topNews;Reuters;taxes;center;Non-biased;Entirely factual;[]
Apple Inc. announced Saturday that all of its stores and corporate offices in China will be closed until February 9 due to the coronavirus outbreak.;https://www.breitbart.com/health/2020/02/01/apple-temporarily-close-stores-offices-china-virus-outbreak/?utm_source=facebook&utm_medium=social;Breitbart;vaccine;;Non-biased;Entirely factual;[]
April, typically a big revenue month for U.S. states that levy personal income taxes, was especially robust this year, making up for subpar collections in prior months, but analysts cautioned the tax surge underscores how state budgets face greater volatility from federal tax law changes and the stock market.;https://www.reuters.com/article/us-usa-states-taxation-analysis/u-s-states-cheer-april-income-tax-deluge-but-analysts-urge-caution-idUSKCN1SR26T?feedType=RSS&feedName=topNews;Reuters;taxes;center;Non-biased;Entirely factual;[]
Are Trump and his ilk manipulating the markets for personal gain?;https://www.alternet.org/2020/01/are-trump-and-his-ilk-manipulating-the-markets-for-personal-gain-investigative-business-reporter-william-cohan-lays-out-the-evidence/;Alternet;taxes;left;Biased;Expresses writer’s opinion;['manipulating', 'ilk']
Argentina has made significant progress on LGBT+ rights in recent years, in 2010 becoming the first country in Latin America to let gay and lesbian couples marry and adopt children.;https://www.reuters.com/article/us-argentina-lgbt-sport-interview-trfn/a-weight-off-my-shoulders-argentinas-first-openly-gay-basketball-star-on-coming-out-idUSKBN2163DO;Reuters;#metoo;center;Non-biased;Entirely factual;[]
Arizona Sen. Martha McSally, vying with fellow Republican Sen. Cory Gardner of Colorado for whose political career is most likely to be toast come November, is pretending that she cares about whether or not you have health care.;https://www.alternet.org/2020/06/mcsally-lies-through-her-teeth-about-saving-healthcare-protections-after-votes-to-take-away/;Alternet;universal health care;left;Non-biased;Somewhat factual but also opinionated;['pretending']
Armed police supporters and anti-racism demonstrators clashed in Louisville on Saturday before the Kentucky Derby horse race, while Rochester police used tear gas to disperse protesters, as discord in cities across the United States continued to simmer.;https://www.reuters.com/article/us-global-race-usa-protests/summer-of-protests-ends-with-rallies-for-and-against-trump-across-us-idUSKBN25W0H4;Reuters;black lives matter;center;Biased;Entirely factual;[]
Arsenal goalkeeper Bernd Leno has called on his team mates to act as role models for racial equality in the wake of the death of George Floyd, a black man who died in police custody in Minneapolis.;https://www.reuters.com/article/uk-minneapolis-police-soccer-ars-leno-idUKKBN23K094?taid=5ee4ae2ccc071f00018dc63f&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter;Reuters;black lives matter;center;Non-biased;Entirely factual;[]
Arson and looting began to take place in Minnesota this weekend, allegedly in protest of the killing of state resident George Floyd at the hands of police. ;http://feedproxy.google.com/~r/breitbart/~3/Dgr0xp7vt2Q/;Breitbart;black lives matter;right;Non-biased;Entirely factual;['allegedly']
As a candidate, Trump recognized that China was taking our jobs, stealing our intellectual property, and using the United States as its piggy bank.;https://thefederalist.com/2020/06/25/chinas-aggression-keeps-proving-trumps-tough-strategy-is-needed/;Federalist;islam;;Biased;Expresses writer’s opinion;['stealing', 'piggy', 'bank', 'recognized']
As a perennial litigant, Trump weaponized the law to devastate perceived enemies, to consolidate power, to frustrate opposing parties, as former federal prosecutor and acclaimed author James D. Zirin illuminates in his compelling and disturbing history of Trump’s use and abuse of the law, Plaintiff in Chief: A Portrait of Trump in 3,500 Lawsuits (All Points Books).;https://www.alternet.org/2020/04/sadism-crime-and-a-love-of-lies-what-3500-lawsuits-reveal-about-trumps-true-nature/;Alternet;gun control;left;Biased;Somewhat factual but also opinionated;['weaponized', 'abuse', 'disturbing']
As a political calculation, it shows Biden’s campaign is confident about their standing with many suburban moderates who were swing voters in the past but have moved solidly into the Democratic Party during Trump’s presidency, offended by his bullying demeanor and chaotic style.;https://www.huffpost.com/entry/joe-biden-left-bernie-sanders-medicare-college-debt_n_5e8f8dcfc5b6d641a6bc05d9;HuffPost;student-debt;left;Biased;Somewhat factual but also opinionated;['bullying', 'demeanor', 'chaotic', 'style']
As a result, income inequality now rivals that of the robber baron days of the early 1900s, when labor unions were virtually outlawed while corporate monopolies thrived.;https://www.alternet.org/2019/09/how-american-inequality-follows-us-to-the-grave/;Alternet;middle-class;left;Non-biased;No agreement;[]
As a self-described Democratic socialist, Sen. Bernie Sanders, I-Vt., has been outspoken about economic inequality.;https://www.foxnews.com/politics/how-did-bernie-sanders-make-his-money-a-look-at-his-wealth-and-assets?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fpolitics%20%28Internal%20-%20Politics%20-%20Text%29;Fox News;middle-class;right;Non-biased;Entirely factual;[]
As also, of course, even more depressingly are the police – several of whom have been caught on camera abasing themselves before the mob by going down on the knees as if to beg for mercy for their ‘white privilege’.;http://feedproxy.google.com/~r/breitbart/~3/aJodbK6Hgt8/;Breitbart;black lives matter;right;Biased;Expresses writer’s opinion;['abasing', 'depressingly', 'mob']
As an appellate judge, Barrett has staked out conservative legal positions on key hot-button issues in three years on the bench, voting in favor of one of Trump’s hardline immigration policies and showing support for expansive gun rights.;https://www.reuters.com/article/idUSKCN26G31M;Reuters;gun control;center;Non-biased;Entirely factual;[]
As anarchists tear down statues and deface monuments to America’s Founders and those of President Abraham Lincoln and even slavery abolitionist Frederick Douglass, Lin-Manuel Miranda has been silent on this violence on America’s history.;http://feedproxy.google.com/~r/breitbart/~3/rM_C19ktiGA/;Breitbart;gun control;right;Non-biased;Expresses writer’s opinion;['anarchists']
As banks leave low-income communities and jack up the cost of basic financial services such as checking accounts, many Americans instead have to rely on expensive and often predatory “fringe banking” institutions, such as check-cashing businesses, payday lenders and pawnshops.;https://www.huffpost.com/entry/bank-fees-high-cost-low-income_l_5c5ccfd9e4b03afe8d65f468;HuffPost;student-debt;left;Biased;Somewhat factual but also opinionated;['predatory']
As Black Lives Matter rioters coursed through the city, Lightfoot attempted to lock the protesters out of the Loop area by raising the bridges over the Chicago River and blockading highway exits feeding into downtown.;http://feedproxy.google.com/~r/breitbart/~3/8PirF6lh-Dc/;Breitbart;marriage-equality;;Biased;Somewhat factual but also opinionated;['rioters']
As Breitbart News also reported in January, if elected, Warren has also vowed to fill at least half of her Cabinet with women and “non-binary” individuals – or those who claim they are neither male nor female.;https://www.breitbart.com/politics/2020/01/30/elizabeth-warren-says-transgender-child-must-approve-education-secretary/;Breitbart;marriage-equality;;Biased;Somewhat factual but also opinionated;"['claim', '""non-binary""']"
